Method,Video,Episode,Chunk,Action_proposed,Applied_Action,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,0,0,0,0,300,1126.0,1.17,4.0,1.342,66.58,0.0,60.81,0,0.0,1,750,5.117,83.73,61.72,-0.9099999999999966,-3.775,0
Proposed,bigbuckbunny,0,1,1,1,750,892.4,4.0,5.2,0.0,83.73,17.15,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,0,2,1,1,750,941.8,5.2,6.45,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,3,1,1,750,463.6,6.45,4.31,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,4,0,0,300,1052.0,4.31,5.93,0.0,66.58,17.15,49.43,0,0.0,1,750,1.639,83.73,76.68,-27.250000000000007,-1.639,0
Proposed,bigbuckbunny,0,5,1,1,750,355.7,5.93,4.0,1.932,83.73,17.15,58.27,0,0.0,1,750,3.864,83.73,67.12,-8.850000000000001,-1.932,1
Proposed,bigbuckbunny,0,6,1,1,750,952.1,4.0,6.12,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,83.73,0.0,0.0,0
Proposed,bigbuckbunny,0,7,1,1,750,1023.8,6.12,8.71,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,8,1,1,750,960.6,8.71,8.77,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,9,2,2,1200,955.9,8.77,10.76,0.0,90.34,6.61,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,0,10,1,1,750,880.2,10.76,12.85,0.0,83.73,6.61,77.12,0,0.0,2,1200,0.0,90.34,90.34,-13.219999999999999,0.0,0
Proposed,bigbuckbunny,0,11,1,1,750,1063.0,12.85,14.86,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,12,1,1,750,934.7,14.86,16.0,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,13,2,2,1200,994.6,16.0,16.85,0.0,90.34,6.61,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,0,14,2,2,1200,1000.9,16.85,18.76,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,15,2,2,1200,858.9,18.76,18.64,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,16,2,2,1200,1103.0,18.64,16.12,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,77.12,13.219999999999999,0.0,0
Proposed,bigbuckbunny,0,17,2,2,1200,966.8,16.12,15.85,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
