Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate
Proposed,bigbuckbunny,0,0,0,0,300,1126.0,1.17,4.0,0.988,66.58,0.0,62.33,0,0.0
Proposed,bigbuckbunny,0,1,0,0,300,892.4,4.0,6.19,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,0,2,1,1,750,941.8,6.19,6.71,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,0,3,0,0,300,463.6,6.71,7.78,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,0,4,0,0,300,1052.0,7.78,9.87,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,0,5,1,1,750,355.7,9.87,9.47,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,0,6,1,1,750,952.1,9.47,11.06,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,0,7,1,1,750,1023.8,11.06,13.25,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,0,8,1,1,750,960.6,13.25,14.45,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,0,9,2,2,1200,955.9,14.45,16.43,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,0,10,2,2,1200,880.2,16.43,18.25,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,0,11,2,2,1200,1063.0,18.25,20.08,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,0,12,2,2,1200,934.7,20.08,18.65,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,0,13,2,2,1200,994.6,18.65,19.26,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,0,14,2,2,1200,1000.9,19.26,19.5,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,0,15,2,2,1200,858.9,19.5,19.45,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,0,16,2,2,1200,1103.0,19.45,15.32,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,0,17,2,2,1200,966.8,15.32,15.18,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,0,18,2,2,1200,810.4,15.18,11.66,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,0,19,2,2,1200,971.9,11.66,9.71,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,0,20,0,0,300,704.0,9.71,9.52,0.0,66.58,23.76,42.82,0,0.0
Proposed,bigbuckbunny,0,21,1,1,750,1036.7,9.52,9.35,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,0,22,2,2,1200,1087.5,9.35,10.44,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,0,23,1,1,750,1111.3,10.44,11.86,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,0,24,1,1,750,1138.6,11.86,10.67,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,0,25,2,2,1200,1073.9,10.67,12.42,0.0,90.34,6.61,83.73,0,0.0
